status_key,status_actual,status_stage
0,SIN_STATUS,SIN_STATUS
1,DEVUELTO DEPOSITO VACIO,DEPOSITO
2,EN GRUPASA,BODEGA
3,EN PATIO,PATIO
4,EN PUERTO,PUERTO
