contenedor_key,contenedor_id,pedido,parcial,naviera,puerto,deposito_vacio
617,MSDU6841015,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,RE-05174,MSC,RE-05174,MEDLOG
618,MSDU6895114,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,RE-05174,MSC,RE-05174,MEDLOG
619,MSDU6929446,5700011107 P4 GG,,MSC,TPG,MEDLOG
620,MSDU6959353,8000214 P2 FSC GG,RE-54128,MSC,RE-54128,MEDLOG
621,MSDU6975776,5700011067 P1  FSC GE,,MSC,TPG,MEDLOG
622,MSDU6997970,8000159 P9 -8000175 P3 FSC GE,,MSC,CGSA,MEDLOG
623,MSDU6998426,5700010588  P4,,MSC,CGSA,MEDLOG
624,MSDU7097633,8000171 P3 - 213 P5 - 234 P2 FSC GG,,MSC,TPG,MEDLOG
625,MSDU7198407,8000218 P1 FSC GE,RE-54910,MSC,RE-54910,MEDLOG
626,MSDU7221636,8000198 P1-175 P13 FSC GE,,MSC,NAPORTEC,MEDLOG
627,MSDU7243759,8000198 P1-175 P13 FSC GE,,MSC,NAPORTEC,MEDLOG
628,MSDU7429390,8000236 P1 FSC GE,RE-03395,MSC,RE-03395,MEDLOG
629,MSDU7431988,8000149 P12 - 8000198 P2 FSC GE,,MSC,TPG,MEDLOG
630,MSDU7436228,8000149 P7- 171 P2 -175 P11 FSC GG,,MSC,CGSA,MEDLOG
631,MSDU7528160,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,RE-05174,MSC,RE-05174,MEDLOG
632,MSDU7630824,5700011051 P10 P11 - 8000212 P4 - 213 P4 P6 - 242,,MSC,TPG,MEDLOG
633,MSDU7712877,8000204 P2 FSC GG,,MSC,NAPORTEC,MEDLOG
634,MSDU7739950,8000149 P8 FSC GE,,MSC,CGSA,MEDLOG
635,MSDU7770298,8000229 P1 FSC GE,RE-06198,MSC,RE-06198,MEDLOG
636,MSDU7820212,5700011051 P10 P11 - 8000212 P4 - 213 P4 P6 - 242,,MSC,TPG,MEDLOG
637,MSDU7824394,8000149 P12 - 8000198 P2 FSC GE,,MSC,TPG,MEDLOG
638,MSDU7865080,8000251 P1 - 8000252 P1 FSC GE,RE-07932,MSC,TPG,MEDLOG
