contenedor_key,contenedor_id,pedido,parcial,naviera,puerto,deposito_vacio
831,MSNU5548065,5700010798 P3 CARTULINA GE,,MSC,TPG,MEDLOG
832,MSNU5605801,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,RE-05174,MSC,RE-05174,MEDLOG
833,MSNU5617823,8000198 P1-175 P13 FSC GE,,MSC,NAPORTEC,MEDLOG
834,MSNU5672081,8000236 P1 FSC GE,RE-03395,MSC,RE-03395,MEDLOG
835,MSNU5676160,8000198 P1-175 P13 FSC GE,,MSC,NAPORTEC,MEDLOG
836,MSNU5821586,8000204 P2 FSC GG,,MSC,NAPORTEC,MEDLOG
837,MSNU5843116,8000236 P4 FSC GE,RE-04220,MSC,RE-04220,MEDLOG
838,MSNU5880275,8000213 P3 FSC GE,,MSC,TPG,MEDLOG
839,MSNU5893328,5700011108 P1 - 11051 P9 - 8000171 P4 FSC GE,,MSC,TPG,MEDLOG
840,MSNU6010578,5700011051 P10 P11 - 8000212 P4 - 213 P4 P6 - 242,,MSC,TPG,MEDLOG
841,MSNU6031837,8000198 P1-175 P13 FSC GE,,MSC,NAPORTEC,MEDLOG
842,MSNU6083044,5700011284 P1 P3 GE,RE-06848,MSC,RE-06848,MEDLOG
843,MSNU6103069,5700010798 P3 CARTULINA GE,,MSC,TPG,MEDLOG
844,MSNU6521881,8000171 P3 - 213 P5 - 234 P2 FSC GG,,MSC,TPG,MEDLOG
845,MSNU6532253,8000198 P4 FSC GE,,MSC,TPG,MEDLOG
846,MSNU6558900,5700011051 P10 P11 - 8000212 P4 - 213 P4 P6 - 242,,MSC,TPG,MEDLOG
847,MSNU6567075,5700011051  P1 GG,,MSC,CGSA,MEDLOG
848,MSNU6694172,8000192  P3 FSC GG,,MSC,CGSA,MEDLOG
849,MSNU6703080,8000196 P1 FSC GE,,MSC,CGSA,MEDLOG
850,MSNU6764686,8000236 P1 FSC GE,RE-03395,MSC,RE-03395,MEDLOG
851,MSNU6814771,8000215 P1 FSC GG,RE-54392,MSC,RE-54392,MEDLOG
852,MSNU7058724,8000215 P2 FSC GE,RE-06205,MSC,RE-06205,MEDLOG
853,MSNU7096010,8000171  P1  FSC GE,,MSC,CGSA,MEDLOG
854,MSNU7186303,8000149 P7- 171 P2 -175 P11 FSC GG,,MSC,CGSA,MEDLOG
855,MSNU7265974,8000192  P3 FSC GG,,MSC,CGSA,MEDLOG
856,MSNU7295829,5700011051 P10 P11 - 8000212 P4 - 213 P4 P6 - 242,,MSC,TPG,MEDLOG
857,MSNU7300859,8000215 P2 FSC GE,RE-06205,MSC,RE-06205,MEDLOG
858,MSNU7353123,8000198 P1-175 P13 FSC GE,,MSC,NAPORTEC,MEDLOG
859,MSNU7366943,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,RE-05174,MSC,RE-05174,MEDLOG
860,MSNU7384150,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,RE-05174,MSC,RE-05174,MEDLOG
861,MSNU7429595,8000171  P1  FSC GE,,MSC,CGSA,MEDLOG
862,MSNU7434903,8000198 P4 FSC GE,,MSC,TPG,MEDLOG
863,MSNU7461468,8000149 P6 - 175 P12 FSC GG,,MSC,CGSA,MEDLOG
864,MSNU7597201,8000234 P1 FSC GE,,MSC,TPG,MEDLOG
865,MSNU7599035,8000198 P1-175 P13 FSC GE,,MSC,NAPORTEC,MEDLOG
866,MSNU7721251,5700010798 P3 CARTULINA GE,,MSC,TPG,MEDLOG
867,MSNU7770960,8000149 P12 - 8000198 P2 FSC GE,,MSC,TPG,MEDLOG
868,MSNU7772562,8000198 P4 FSC GE,,MSC,TPG,MEDLOG
869,MSNU7832785,5700011108 P2 GG,RE-07749,MSC,RE-07749,MEDLOG
870,MSNU7833652,5700011108 P1 - 11051 P9 - 8000171 P4 FSC GE,,MSC,TPG,MEDLOG
871,MSNU7836780,8000204 P1 FSC GG,,MSC,NAPORTEC,MEDLOG
872,MSNU7946068,8000212 P3 - 8000213 P2 FSC GG,,MSC,TPG,MEDLOG
873,MSNU8027245,8000175 P4 FSC GE,,MSC,CGSA,MEDLOG
874,MSNU8027435,5700011108 P1 - 11051 P9 - 8000171 P4 FSC GE,,MSC,TPG,MEDLOG
875,MSNU8031409,5700011051 P10 P11 - 8000212 P4 - 213 P4 P6 - 242,,MSC,TPG,MEDLOG
876,MSNU8034049,8000251 P1 - 8000252 P1 FSC GE,RE-07932,MSC,TPG,MEDLOG
877,MSNU8406676,8000175 P4 FSC GE,,MSC,CGSA,MEDLOG
878,MSNU8423117,8000229 P1 FSC GE,RE-06198,MSC,RE-06198,MEDLOG
879,MSNU8498482,8000236 P4 FSC GE,RE-04220,MSC,RE-04220,MEDLOG
880,MSNU8499848,8000236 P1 FSC GE,RE-03395,MSC,RE-03395,MEDLOG
881,MSNU8526624,8000171 P3 - 213 P5 - 234 P2 FSC GG,,MSC,TPG,MEDLOG
882,MSNU8650851,8000171  P1  FSC GE,,MSC,CGSA,MEDLOG
883,MSNU8665867,8000192  P3 FSC GG,,MSC,CGSA,MEDLOG
884,MSNU8766271,5700011051 P10 P11 - 8000212 P4 - 213 P4 P6 - 242,,MSC,TPG,MEDLOG
885,MSNU8831227,8000212 P3 - 8000213 P2 FSC GG,,MSC,TPG,MEDLOG
886,MSNU9008846,8000215 P2 FSC GE,RE-06205,MSC,RE-06205,MEDLOG
887,MSNU9064201,8000214 P2 FSC GG,RE-54128,MSC,RE-54128,MEDLOG
888,MSNU9120460,5700011108 P1 - 11051 P9 - 8000171 P4 FSC GE,,MSC,TPG,MEDLOG
889,MSNU9140385,8000159 P9 -8000175 P3 FSC GE,,MSC,CGSA,MEDLOG
890,MSNU9141191,8000175 P4 FSC GE,,MSC,CGSA,MEDLOG
891,MSNU9170760,8000218 P1 FSC GE,RE-54910,MSC,RE-54910,MEDLOG
892,MSNU9305741,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,RE-05174,MSC,RE-05174,MEDLOG
893,MSNU9577061,5700011051  P1 GG,,MSC,CGSA,MEDLOG
894,MSNU9592214,5700011108 P1 - 11051 P9 - 8000171 P4 FSC GE,,MSC,TPG,MEDLOG
895,MSNU9638022,5700011051 P10 P11 - 8000212 P4 - 213 P4 P6 - 242,,MSC,TPG,MEDLOG
896,MSNU9663200,8000159 P9 -8000175 P3 FSC GE,,MSC,CGSA,MEDLOG
897,MSNU9682154,5700010798 P3 CARTULINA GE,,MSC,TPG,MEDLOG
898,MSNU9712686,5700011108 P2 GG,RE-07749,MSC,RE-07749,MEDLOG
899,MSNU9741555,8000204 P1 FSC GG,,MSC,NAPORTEC,MEDLOG
900,MSNU9754737,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,RE-05174,MSC,RE-05174,MEDLOG
901,MSNU9786328,8000149 P9  5700011051 P2 FSC GE,,MSC,NAPORTEC,MEDLOG
902,MTSU9624380,8000261 P1 P2 P3 P4 P5 FSC GG,RE-06142,MAERKS,RE-06142,OPACIFIC
903,MTSU9636668,8000175 P4 FSC GE,,MSC,CGSA,MEDLOG
904,OTPU6083370,URGENTE 5700011274 P1 GE,RE-09223,UNIRREFER,CGSA,PACIFIC OCNTAINER
905,OTPU6106562,8000217 P1 FSC GE,RE-08356,MSC,RE-08356,MEDLOG
906,OTPU6321020,URGENTE 5700011274 P1 GE,RE-09223,UNIRREFER,CGSA,PACIFIC OCNTAINER
907,OTPU6323608,URGENTE 5700011274 P1 GE,RE-09223,UNIRREFER,CGSA,PACIFIC OCNTAINER
908,OTPU6375509,URGENTE 5700011274 P1 GE,RE-09223,UNIRREFER,CGSA,PACIFIC OCNTAINER
909,OTPU6719266,5700011121 P1 GE,,UNIREEFER,CGSA,PRCS
910,OTPU6720360,URGENTE 5700011274 P1 GE,RE-09223,UNIRREFER,CGSA,PACIFIC OCNTAINER
911,OTPU6720966,URGENTE 5700011274 P1 GE,RE-09223,UNIRREFER,CGSA,PACIFIC OCNTAINER
912,OTPU6721828,URGENTE 5700011274 P1 GE,RE-09223,UNIRREFER,CGSA,PACIFIC OCNTAINER
913,OTPU6721941,5700011121 P1 GE,,UNIREEFER,CGSA,PRCS
914,OTPU6722193,5700011121 P1 GE,,UNIREEFER,CGSA,PRCS
915,OTPU6722378,5700011121 P1 GE,,UNIREEFER,CGSA,PRCS
916,OTPU6782037,5700011121 P1 GE,,UNIREEFER,CGSA,PRCS
917,OTPU6782280,5700011121 P1 GE,,UNIREEFER,CGSA,PRCS
918,OTPU6782588,5700011121 P1 GE,,UNIREEFER,CGSA,PRCS
919,OTPU6783434,URGENTE 5700011274 P1 GE,RE-09223,UNIRREFER,CGSA,PACIFIC OCNTAINER
920,OTPU6784657,URGENTE 5700011274 P1 GE,RE-09223,UNIRREFER,CGSA,PACIFIC OCNTAINER
921,OTPU6784889,5700011121 P1 GE,,UNIREEFER,CGSA,PRCS
922,OTPU6785801,5700011121 P1 GE,,UNIREEFER,CGSA,PRCS
923,OTPU6785890,URGENTE 5700011274 P1 GE,RE-09223,UNIRREFER,CGSA,PACIFIC OCNTAINER
924,SEGU4261866,8000261 P1 P2 P3 P4 P5 FSC GG,RE-06142,MAERKS,RE-06142,OPACIFIC
925,SEGU5490867,5700011108 P1 - 11051 P9 - 8000171 P4 FSC GE,,MSC,TPG,MEDLOG
926,SEGU5713805,ALMIDON 5700011000 P2,,HALO,TPG,TERCON
927,SEGU6810970,8000171  P1  FSC GE,,MSC,CGSA,MEDLOG
928,SEGU9299078,URGENTE 5700011274 P1 GE,RE-09223,UNIRREFER,CGSA,PACIFIC OCNTAINER
929,SEGU9409391,8000239 P1 FSC GE,RE-04663,CMA CGM,RE-04663,BLASTI
930,SEGU9425643,8000239 P1 FSC GE,RE-04663,CMA CGM,RE-04663,BLASTI
931,SEGU9443971,8000221 P1 FSC GE,,CMA CGM,TPG,DEPCONSA
932,SEGU9501825,SPLIT 0008000189 P4 FSC GE,,CMA CGM,TPG,DEPCONSA
933,SEGU9544431,SPLIT 8000189 P3 FSC GE -HSK0221850,,HALO,TPG,DEPCONSA
934,SEGU9620589,URGENTE 5700011274 P1 GE,RE-09223,UNIRREFER,CGSA,PACIFIC OCNTAINER
935,SEGU9630611,URGENTE 5700011274 P1 GE,RE-09223,UNIRREFER,CGSA,PACIFIC OCNTAINER
936,SEGU9631027,URGENTE 5700011274 P1 GE,RE-09223,UNIRREFER,CGSA,PACIFIC OCNTAINER
937,SEGU9676525,URGENTE 5700011274 P1 GE,RE-09223,UNIRREFER,CGSA,PACIFIC OCNTAINER
938,SEGU9720968,URGENTE 5700011274 P1 GE,RE-09223,UNIRREFER,CGSA,PACIFIC OCNTAINER
939,SEGU9741209,URGENTE 5700011274 P1 GE,RE-09223,UNIRREFER,CGSA,PACIFIC OCNTAINER
940,SEKU4088694,8000236 P1 FSC GE,RE-03395,MSC,RE-03395,MEDLOG
941,SEKU4518814,8000187  P1 FSC GG,,MSC,CGSA,MEDLOG
942,SEKU6079881,8000187  P1 FSC GG,,MSC,CGSA,MEDLOG
943,SEKU6337862,8000187  P1 FSC GG,,MSC,CGSA,MEDLOG
944,SEKU6416581,8000272 P1 FSC GE,RE-08531,HALO,TPG,TERCON
945,SEKU6448022,8000187  P1 FSC GG,,MSC,CGSA,MEDLOG
946,SEKU6678956,8000192  P3 FSC GG,,MSC,CGSA,MEDLOG
947,SEKU6686381,8000171 P3 - 213 P5 - 234 P2 FSC GG,,MSC,TPG,MEDLOG
948,SEKU6709888,8000197 P1 P2 P3 P4,,MAERKS,TPG,OPACIFIC
949,SEKU6716953,8000190 P3 FSC GE,,MAERKS,TPG,OPACIFIC
950,SEKU6764484,8000149 P10 - 5700011051 P3 FSC GE,,MSC,NAPORTEC,MEDLOG
951,SEKU6767610,8000192  P3 FSC GG,,MSC,CGSA,MEDLOG
952,SEKU6778960,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,RE-05174,MSC,RE-05174,MEDLOG
953,SEKU6779530,5700011067 P4 - 5700011107 P3 GE,,MSC,TPG,MEDLOG
954,SEKU6822127,8000214 P2 FSC GG,RE-54128,MSC,RE-54128,MEDLOG
955,SEKU6824135,8000149 P7- 171 P2 -175 P11 FSC GG,,MSC,CGSA,MEDLOG
956,SEKU6883164,8000197 P1 P2 P3 P4,,MAERKS,TPG,OPACIFIC
957,SEKU6938246,8000197 P1 P2 P3 P4,,MAERKS,TPG,OPACIFIC
958,SEKU9055327,8000221 P1 FSC GE,,CMA CGM,TPG,DEPCONSA
959,SEKU9064442,8000221 P1 FSC GE,,CMA CGM,TPG,DEPCONSA
960,SEKU9065639,SPLIT 0008000189 P4 FSC GE,,CMA CGM,TPG,DEPCONSA
961,SEKU9072406,SPLIT 8000189 P3 FSC GE -HSK0221850,,HALO,TPG,DEPCONSA
962,SEKU9216015,URGENTE 5700011274 P1 GE,RE-09223,UNIRREFER,CGSA,PACIFIC OCNTAINER
963,SEKU9216720,URGENTE 5700011274 P1 GE,RE-09223,UNIRREFER,CGSA,PACIFIC OCNTAINER
964,SEKU9218698,URGENTE 5700011274 P1 GE,RE-09223,UNIRREFER,CGSA,PACIFIC OCNTAINER
965,SEKU9219605,URGENTE 5700011274 P1 GE,RE-09223,UNIRREFER,CGSA,PACIFIC OCNTAINER
966,SEKU9248516,8000239 P1 FSC GE,RE-04663,CMA CGM,RE-04663,BLASTI
967,SELU4091289,8000190 P2 FSC GE,,MAERKS,TPG,OPACIFIC
968,SELU4493863,8000187  P1 FSC GG,,MSC,CGSA,MEDLOG
969,SELU4501927,8000187  P1 FSC GG,,MSC,CGSA,MEDLOG
970,SILU7003041,8000221 P1 FSC GE,,CMA CGM,TPG,DEPCONSA
971,SMLU3136960,5700011297 - 5700011298,,CITYCOLD,,RFS
972,SMLU3138557,5700011203 / 5700011204,,,,RFS
973,SMLU7867243,5700011203 / 5700011204,,,,RFS
974,SMLU7915043,5700011297 - 5700011298,,CITYCOLD,,RFS
975,SUDU8988658,8000197 P1 P2 P3 P4,,MAERKS,TPG,OPACIFIC
976,SZLU9101490,8000221 P1 FSC GE,,CMA CGM,TPG,DEPCONSA
977,SZLU9102855,8000221 P1 FSC GE,,CMA CGM,TPG,DEPCONSA
978,SZLU9193243,8000221 P1 FSC GE,,CMA CGM,TPG,DEPCONSA
979,SZLU9249764,8000217 P1 FSC GE,RE-08356,MSC,RE-08356,MEDLOG
980,SZLU9263994,8000217 P1 FSC GE,RE-08356,MSC,RE-08356,MEDLOG
981,SZLU9347251,8000217 P1 FSC GE,RE-08356,MSC,RE-08356,MEDLOG
982,SZLU9504643,8000217 P1 FSC GE,RE-08356,MSC,RE-08356,MEDLOG
983,SZLU9584818,8000217 P1 FSC GE,RE-08356,MSC,RE-08356,MEDLOG
984,SZLU9631592,8000221 P1 FSC GE,,CMA CGM,TPG,DEPCONSA
985,SZLU9663840,8000239 P1 FSC GE,RE-04663,CMA CGM,RE-04663,BLASTI
986,SZLU9866540,8000239 P1 FSC GE,RE-04663,CMA CGM,RE-04663,BLASTI
987,SZLU9897366,SPLIT 8000189 P3 FSC GE -HSK0221850,,HALO,TPG,DEPCONSA
988,SZLU9916403,8000239 P1 FSC GE,RE-04663,CMA CGM,RE-04663,BLASTI
989,TCKU6524496,8000256 P1 FSC GE,RE-05271,MAERKS,RE-05271,OPACIFIC
990,TCKU6959879,8000261 P1 P2 P3 P4 P5 FSC GG,RE-06142,MAERKS,RE-06142,OPACIFIC
991,TCKU7131636,8000228 P1 FSC GE,,MAERKS,TPG,OPACIFIC
992,TCKU7401114,8000233 P1 FSC GG,,MAERKS,TPG,OPACIFIC
993,TCKU7766637,8000261 P1 P2 P3 P4 P5 FSC GG,RE-06142,MAERKS,RE-06142,OPACIFIC
994,TCLU1096788,8000221 P1 FSC GE,,CMA CGM,TPG,DEPCONSA
995,TCLU1128340,SPLIT 0008000189 P4 FSC GE,,CMA CGM,TPG,DEPCONSA
996,TCLU1242558,8000239 P1 FSC GE,RE-04663,CMA CGM,RE-04663,BLASTI
997,TCLU1625080,8000149 P8 FSC GE,,MSC,CGSA,MEDLOG
998,TCLU3379977,5700011308 P2 ARCLAD GE,RE-05572,HALO,RE-05572,TPG
999,TCLU4991781,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,RE-05174,MSC,RE-05174,MEDLOG
1000,TCLU5956620,5700011108 P1 - 11051 P9 - 8000171 P4 FSC GE,,MSC,TPG,MEDLOG
1001,TCLU7223513,8000218 P1 FSC GE,RE-54910,MSC,RE-54910,MEDLOG
1002,TCLU7769905,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,RE-05174,MSC,RE-05174,MEDLOG
1003,TCLU8083490,6002440 P1,,HALO,TPG,BLASTI
1004,TCLU9332128,8000171 P3 - 213 P5 - 234 P2 FSC GG,,MSC,TPG,MEDLOG
1005,TCLU9498398,5700010798 P3 CARTULINA GE,,MSC,TPG,MEDLOG
1006,TCLU9510894,8000149 P8 FSC GE,,MSC,CGSA,MEDLOG
1007,TCNU1083406,5700010798 P3 CARTULINA GE,,MSC,TPG,MEDLOG
1008,TCNU1250041,8000204 P2 FSC GG,,MSC,NAPORTEC,MEDLOG
1009,TCNU1383701,8000271 P1 FSC GE,RE-05719,HALO,RE-05719,TPG
1010,TCNU1414490,8000149 P6 - 175 P12 FSC GG,,MSC,CGSA,MEDLOG
1011,TCNU1420404,5700011284 P1 P3 GE,RE-06848,MSC,RE-06848,MEDLOG
1012,TCNU1440946,8000192  P3 FSC GG,,MSC,CGSA,MEDLOG
1013,TCNU1830688,8000261 P1 P2 P3 P4 P5 FSC GG,RE-06142,MAERKS,RE-06142,OPACIFIC
1014,TCNU2562770,8000233 P1 FSC GG,,MAERKS,TPG,OPACIFIC
1015,TCNU2629298,8000190 P2 FSC GE,,MAERKS,TPG,OPACIFIC
1016,TCNU2908461,5700011051 P10 P11 - 8000212 P4 - 213 P4 P6 - 242,,MSC,TPG,MEDLOG
1017,TCNU4471236,8000261 P1 P2 P3 P4 P5 FSC GG,RE-06142,MAERKS,RE-06142,OPACIFIC
1018,TCNU6877800,6002440 P1,,HALO,TPG,BLASTI
1019,TCNU7113600,5700011108 P1 - 11051 P9 - 8000171 P4 FSC GE,,MSC,TPG,MEDLOG
1020,TCNU8790838,8000251 P1 - 8000252 P1 FSC GE,RE-07932,MSC,TPG,MEDLOG
1021,TCNU8897744,5700011051  P1 GG,,MSC,CGSA,MEDLOG
1022,TCNU8943860,5700011108 P1 - 11051 P9 - 8000171 P4 FSC GE,,MSC,TPG,MEDLOG
1023,TCNU9368236,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,RE-05174,MSC,RE-05174,MEDLOG
1024,TEMU0708037,8000182 P2 FSC GE,,COSCO,TPG,TERCON
1025,TEMU6585393,8000175 P4 FSC GE,,MSC,CGSA,MEDLOG
1026,TEMU7499601,8000271 P1 FSC GE,RE-05719,HALO,RE-05719,TPG
1027,TEMU7598800,8000235 P1 FSC GE,RE-54923,CMA CGM,RE-54923,BLASTI
1028,TEMU7643323,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,RE-05174,MSC,RE-05174,MEDLOG
1029,TEMU7964030,5700011108 P2 GG,RE-07749,MSC,RE-07749,MEDLOG
1030,TEMU8133983,8000149 P7- 171 P2 -175 P11 FSC GG,,MSC,CGSA,MEDLOG
1031,TEMU8166210,8000212 P3 - 8000213 P2 FSC GG,,MSC,TPG,MEDLOG
1032,TEMU8184933,8000218 P1 FSC GE,RE-54910,MSC,RE-54910,MEDLOG
1033,TEMU8203376,8000175 P4 FSC GE,,MSC,CGSA,MEDLOG
1034,TEMU8262276,8000196 P1 FSC GE,,MSC,CGSA,MEDLOG
1035,TEMU8266435,8000212 P3 - 8000213 P2 FSC GG,,MSC,TPG,MEDLOG
1036,TEMU8291248,5700011051 P10 P11 - 8000212 P4 - 213 P4 P6 - 242,,MSC,TPG,MEDLOG
1037,TEMU8365063,8000212 P3 - 8000213 P2 FSC GG,,MSC,TPG,MEDLOG
1038,TEMU9024312,8000217 P1 FSC GE,RE-08356,MSC,RE-08356,MEDLOG
1039,TEMU9109111,8000239 P1 FSC GE,RE-04663,CMA CGM,RE-04663,BLASTI
1040,TEMU9216995,8000221 P1 FSC GE,,CMA CGM,TPG,DEPCONSA
1041,TEMU9268685,8000239 P1 FSC GE,RE-04663,CMA CGM,RE-04663,BLASTI
1042,TEMU9295042,8000217 P1 FSC GE,RE-08356,MSC,RE-08356,MEDLOG
1043,TEMU9301546,8000217 P1 FSC GE,RE-08356,MSC,RE-08356,MEDLOG
1044,TEMU9407796,8000217 P1 FSC GE,RE-08356,MSC,RE-08356,MEDLOG
1045,TEMU9575505,SPLIT 8000189 P3 FSC GE -HSK0221850,,HALO,TPG,DEPCONSA
1046,TEMU9844380,SPLIT 8000189 P1 FSC GE,,CMA CGM,TPG,DEPCONSA
1047,TEMU9874996,8000221 P1 FSC GE,,CMA CGM,TPG,DEPCONSA
1048,TGBU4394588,5700010588  P4,,MSC,CGSA,MEDLOG
1049,TGBU4584762,5700011051  P1 GG,,MSC,CGSA,MEDLOG
1050,TGBU4635643,5700011051 P10 P11 - 8000212 P4 - 213 P4 P6 - 242,,MSC,TPG,MEDLOG
1051,TGBU5580226,5700011108 P1 - 11051 P9 - 8000171 P4 FSC GE,,MSC,TPG,MEDLOG
1052,TGBU5854230,8000192  P3 FSC GG,,MSC,CGSA,MEDLOG
1053,TGBU5908254,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,RE-05174,MSC,RE-05174,MEDLOG
1054,TGBU5926978,8000186 P1 GE KLABIN,,ZIM,CONTECON,CONTECON
1055,TGBU5982539,5700011051 P10 P11 - 8000212 P4 - 213 P4 P6 - 242,,MSC,TPG,MEDLOG
1056,TGBU6115960,8000271 P1 FSC GE,RE-05719,HALO,RE-05719,TPG
1057,TGBU6181196,8000214 P2 FSC GG,RE-54128,MSC,RE-54128,MEDLOG
1058,TGBU6422272,8000204 P1 FSC GG,,MSC,NAPORTEC,MEDLOG
1059,TGBU6423509,8000204 P2 FSC GG,,MSC,NAPORTEC,MEDLOG
1060,TGBU6434376,5700011051  P1 GG,,MSC,CGSA,MEDLOG
1061,TGBU6688220,8000261 P1 P2 P3 P4 P5 FSC GG,RE-06142,MAERKS,RE-06142,OPACIFIC
1062,TGBU7170977,8000236 P1 FSC GE,RE-03395,MSC,RE-03395,MEDLOG
1063,TGBU7184327,8000171  P1  FSC GE,,MSC,CGSA,MEDLOG
1064,TGBU7193925,8000251 P1 - 8000252 P1 FSC GE,RE-07932,MSC,TPG,MEDLOG
1065,TGBU7494301,8000215 P1 FSC GG,RE-54392,MSC,RE-54392,MEDLOG
1066,TGBU7559275,8000212 P3 - 8000213 P2 FSC GG,,MSC,TPG,MEDLOG
1067,TGBU7736658,5700010588  P4,,MSC,CGSA,MEDLOG
1068,TGBU7958249,8000149 P6 - 175 P12 FSC GG,,MSC,CGSA,MEDLOG
1069,TGBU7989738,5700011284 P1 P3 GE,RE-06848,MSC,RE-06848,MEDLOG
1070,TGBU7995448,8000218 P1 FSC GE,RE-54910,MSC,RE-54910,MEDLOG
1071,TGBU8053928,8000212 P3 - 8000213 P2 FSC GG,,MSC,TPG,MEDLOG
1072,TGBU9596982,5700011051 P10 P11 - 8000212 P4 - 213 P4 P6 - 242,,MSC,TPG,MEDLOG
1073,TGBU9599507,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,RE-05174,MSC,RE-05174,MEDLOG
1074,TGBU9617935,5700011107 P4 GG,,MSC,TPG,MEDLOG
1075,TGBU9655160,8000251 P1 - 8000252 P1 FSC GE,RE-07932,MSC,TPG,MEDLOG
1076,TGBU9883792,8000204 P1 FSC GG,,MSC,NAPORTEC,MEDLOG
1077,TGCU5097470,5700011107 P4 GG,,MSC,TPG,MEDLOG
1078,TGCU5097989,8000212 P3 - 8000213 P2 FSC GG,,MSC,TPG,MEDLOG
1079,TGCU5111330,8000215 P2 FSC GE,RE-06205,MSC,RE-06205,MEDLOG
1080,TGCU5255620,5700011067 P1  FSC GE,,MSC,TPG,MEDLOG
1081,TGCU5258996,5700010588  P4,,MSC,CGSA,MEDLOG
1082,TGCU5265110,8000187  P1 FSC GG,,MSC,CGSA,MEDLOG
1083,TGCU5466330,8000235 P1 FSC GE,RE-54923,CMA CGM,RE-54923,BLASTI
1084,TGHU6071307,8000218 P1 FSC GE,RE-54910,MSC,RE-54910,MEDLOG
1085,TGHU6094365,8000215 P2 FSC GE,RE-06205,MSC,RE-06205,MEDLOG
1086,TGHU6147188,8000236 P1 FSC GE,RE-03395,MSC,RE-03395,MEDLOG
1087,TGHU6164499,8000215 P2 FSC GE,RE-06205,MSC,RE-06205,MEDLOG
1088,TGHU6833589,8000218 P1 FSC GE,RE-54910,MSC,RE-54910,MEDLOG
1089,TGHU9544569,5700011108 P1 - 11051 P9 - 8000171 P4 FSC GE,,MSC,TPG,MEDLOG
1090,TIIU4079306,8000236 P2 FSC GG,RE03844,CMACGM,CGSA,BLASTI
1091,TIIU4128550,5700011051 P10 P11 - 8000212 P4 - 213 P4 P6 - 242,,MSC,TPG,MEDLOG
1092,TIIU4241593,8000149 P6 - 175 P12 FSC GG,,MSC,CGSA,MEDLOG
1093,TIIU4331526,8000236 P2 FSC GG,RE03844,CMACGM,CGSA,BLASTI
1094,TIIU4467831,5700011067 P1  FSC GE,,MSC,TPG,MEDLOG
1095,TIIU4530699,8000175 P4 FSC GE,,MSC,CGSA,MEDLOG
1096,TIIU4598615,8000236 P3 FSC GG,RE-03886,CMACGM,CGSA,BLASTI
1097,TIIU4692344,8000261 P1 P2 P3 P4 P5 FSC GG,RE-06142,MAERKS,RE-06142,OPACIFIC
1098,TIIU4829479,8000149 P9  5700011051 P2 FSC GE,,MSC,NAPORTEC,MEDLOG
1099,TIIU4837221,8000234 P1 FSC GE,,MSC,TPG,MEDLOG
1100,TIIU4906894,8000236 P2 FSC GG,RE03844,CMACGM,CGSA,BLASTI
1101,TIIU4973995,8000236 P3 FSC GG,RE-03886,CMACGM,CGSA,BLASTI
1102,TIIU5091034,5700011051 P10 P11 - 8000212 P4 - 213 P4 P6 - 242,,MSC,TPG,MEDLOG
1103,TIIU5095718,8000236 P4 FSC GE,RE-04220,MSC,RE-04220,MEDLOG
1104,TIIU5155519,8000215 P1 FSC GG,RE-54392,MSC,RE-54392,MEDLOG
1105,TIIU5329190,8000197 P1 P2 P3 P4,,MAERKS,TPG,OPACIFIC
1106,TIIU5983724,8000236 P1 FSC GE,RE-03395,MSC,RE-03395,MEDLOG
1107,TIIU6001647,5700010798 P3 CARTULINA GE,,MSC,TPG,MEDLOG
1108,TIIU7100670,8000187  P1 FSC GG,,MSC,CGSA,MEDLOG
1109,TLLU5120366,5700011284 P1 P3 GE,RE-06848,MSC,RE-06848,MEDLOG
1110,TLLU5983407,8000261 P1 P2 P3 P4 P5 FSC GG,RE-06142,MAERKS,RE-06142,OPACIFIC
1111,TLLU7528233,5700011051 P10 P11 - 8000212 P4 - 213 P4 P6 - 242,,MSC,TPG,MEDLOG
1112,TLLU7560960,8000175 P7 FSC GE,,MSC,CGSA,MEDLOG
1113,TLLU7566742,5700011051  P1 GG,,MSC,CGSA,MEDLOG
1114,TLLU7566932,5700011108 P1 - 11051 P9 - 8000171 P4 FSC GE,,MSC,TPG,MEDLOG
1115,TLLU7598605,8000171 P3 - 213 P5 - 234 P2 FSC GG,,MSC,TPG,MEDLOG
1116,TLLU7855030,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,RE-05174,MSC,RE-05174,MEDLOG
1117,TLLU7861223,5700010588  P4,,MSC,CGSA,MEDLOG
